fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1513.0,,,,,,129.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1476.0,,,,,,66.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1465.0,,,,,,345.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1489.0,,,,,,335.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1523.0,,,,,,319.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1615.0,,,,,,320.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1654.0,,,,,,342.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1658.0,,,,,,16.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1630.0,,,,,,73.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1595.0,,,,,,68.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1573.0,,,,,,50.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1546.0,,,,,,63.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1476.0,,,,,,62.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1453.0,,,,,,50.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1418.0,,,,,,53.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1380.0,,,,,,59.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1330.0,,,,,,7.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1377.0,,,,,,279.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1434.0,,,,,,280.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1599.0,,,,,,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1659.0,,,,,,281.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1705.0,,,,,,272.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1741.0,,,,,,296.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1766.0,,,,,,322.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1774.0,,,,,,332.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1788.0,,,,,,324.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1845.0,,,,,,330.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1856.0,,,,,,352.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1869.0,,,,,,339.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1893.0,,,,,,298.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1979.0,,,,,,302.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2033.0,,,,,,322.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2062.0,,,,,,325.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2107.0,,,,,,317.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2213.0,,,,,,328.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2222.0,,,,,,347.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2251.0,,,,,,346.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2311.0,,,,,,355.0,,,0.8,,20,,2
NF,,,,,51.621244,-115.608378,2300.0,,,,,,2.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2294.0,,,,,,322.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2305.0,,,,,,233.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2341.0,,,,,,195.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2324.0,,,,,,151.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2293.0,,,,,,118.0,,,,,20,,101
