fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2300.0,,,,,39.0,110.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2249.0,,,,,58.0,97.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2193.0,,,,,45.0,83.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2168.0,,,,,30.0,58.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2143.0,,,,,37.0,67.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2092.0,,,,,47.0,79.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2051.0,,,,,48.0,70.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2020.0,,,,,45.0,48.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1989.0,,,,,46.0,34.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1962.0,,,,,40.0,12.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1972.0,,,,,37.0,349.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1970.0,,,,,29.0,2.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1959.0,,,,,28.0,11.0,,,0.75,,20,,1
