fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C5,,,,,51.621244,-115.608378,1074.0,,,,,65.0,259.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1165.0,,,,,75.0,262.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1223.0,,,,,55.0,258.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1277.0,,,,,82.0,259.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1389.0,,,,,83.0,254.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1439.0,,,,,53.0,233.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1473.0,,,,,58.0,219.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1503.0,,,,,77.0,218.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1556.0,,,,,81.0,213.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1592.0,,,,,73.0,203.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1622.0,,,,,70.0,201.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1636.0,,,,,66.0,203.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1675.0,,,,,68.0,218.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1755.0,,,,,71.0,218.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1785.0,,,,,71.0,212.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1823.0,,,,,68.0,218.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1859.0,,,,,64.0,217.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1910.0,,,,,76.0,216.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1959.0,,,,,82.0,212.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1983.0,,,,,67.0,200.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1991.0,,,,,57.0,189.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1997.0,,,,,67.0,218.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2074.0,,,,,65.0,236.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2108.0,,,,,16.0,159.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2064.0,,,,,100.0,92.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,1904.0,,,,,115.0,90.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1830.0,,,,,72.0,90.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1761.0,,,,,65.0,88.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1701.0,,,,,78.0,84.0,,,0.75,,20,,1
D1,,,,,51.621244,-115.608378,1612.0,,,,,69.0,75.0,,,,,20,,13
C1,,,,,51.621244,-115.608378,1547.0,,,,,10.0,293.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1551.0,,,,,1.0,94.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1543.0,,,,,10.0,110.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1530.0,,,,,7.0,136.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1531.0,,,,,6.0,154.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1523.0,,,,,4.0,151.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1527.0,,,,,5.0,272.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1534.0,,,,,9.0,298.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1542.0,,,,,14.0,302.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1560.0,,,,,10.0,305.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1563.0,,,,,2.0,326.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1562.0,,,,,1.0,135.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1559.0,,,,,4.0,151.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1558.0,,,,,6.0,151.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1554.0,,,,,7.0,147.0,,,0.8,,20,,2
